user_id,sku_id
200003,142140
200006,21147
200014,146523
200015,64974
200025,58568
200031,48895
200033,52343
200040,20308
200051,5825
200052,69209
200059,64467
200062,113920
200066,34314
200075,149641
200079,149444
200088,61531
200091,85557
200092,122664
200097,18412
200107,88295
200117,79520
200127,99646
200130,110279
200137,60230
200154,65520
200157,154636
200159,47895
200175,107012
200178,164258
200179,145895
200200,57161
200206,131300
200216,75635
200224,154636
200232,6533
200234,62863
200236,160750
200239,108399
200242,129010
200243,107012
200246,149641
200250,103132
200253,32465
200260,154636
200267,161792
200284,152986
200294,63844
200300,88295
200318,63006
200319,31662
200322,12564
200328,12564
200337,75877
200339,84389
200343,4333
200348,30195
200370,140687
200372,12564
200374,42721
200375,128567
200376,167985
200382,72771
200386,63006
200389,16127
200390,37254
200398,63006
200399,54845
200400,26372
200406,12564
200423,156199
200432,39425
200440,145895
200443,12564
200446,12564
200448,68293
200451,124997
200458,37957
200459,59175
200461,21457
200467,109728
200474,75771
200477,24371
200480,12564
200483,148633
200495,38639
200497,84409
200500,155452
200501,55715
200519,128567
200520,140166
200521,112332
200522,40336
200531,116489
200557,102204
200559,58357
200568,5825
200571,154636
200586,63229
200599,63844
200600,160750
200623,32465
200624,149854
200627,63006
200647,161193
200650,132417
200667,102098
200672,166707
200674,19960
200694,38639
200701,44854
200710,75877
200718,154823
200732,51429
200762,79636
200767,120172
200768,12564
200778,59402
200783,52343
200785,149641
200792,135187
200793,149854
200794,14433
200807,69209
200812,145895
200814,154636
200820,108824
200821,154636
200833,60230
200834,32465
200848,99646
200877,89271
200885,148334
200890,21147
200896,96887
200901,142477
200902,14433
200904,6533
200911,48895
200912,12564
200929,60230
200936,107012
200937,134084
200938,109093
200939,24371
200945,149641
200947,154732
200958,44854
200962,115851
200964,5484
200989,146704
201000,110974
201001,47107
201005,79520
201009,63310
201011,15259
201012,94944
201013,164258
201023,146523
201025,63006
201027,105559
201032,154636
201047,74141
201050,123773
201052,31662
201068,79520
201072,111021
201074,12564
201082,12564
201084,97025
201092,14433
201094,22499
201100,60230
201102,12564
201106,9448
201108,79520
201110,24371
201114,14577
201116,31662
201149,160476
201156,103132
201158,20847
201159,101181
201160,15259
201174,47193
201180,6238
201185,6533
201192,137001
201195,166707
201197,84409
201199,52343
201202,154636
201208,75134
201210,146704
201216,18412
201220,15259
201226,81462
201235,31662
201241,85557
201250,85557
201251,164354
201255,147796
201259,32465
201269,94561
201275,57018
201276,96191
201287,62476
201306,6533
201315,131300
201324,166354
201325,101181
201328,138151
201332,148434
201334,37957
201336,116489
201338,115215
201343,157243
201345,87310
201356,154636
201357,131300
201363,13334
201373,73309
201377,32465
201379,32465
201380,5505
201389,154636
201393,24371
201396,149641
201397,93169
201398,124997
201409,169819
201417,102090
201419,12224
201434,146704
201435,75836
201439,154636
201440,63006
201449,13334
201460,166354
201465,18412
201466,101181
201475,57161
201499,134276
201520,62863
201527,164252
201531,83701
201540,146704
201558,21147
201559,109093
201562,124431
201569,9702
201570,31662
201577,109083
201590,14163
201592,128988
201597,146523
201598,138151
201602,145946
201603,149641
201606,169819
201608,63006
201623,152483
201626,40336
201629,57161
201630,24520
201634,169819
201636,75836
201644,92909
201664,79636
201668,128988
201678,155680
201686,84389
201694,60230
201699,143764
201706,31662
201708,44854
201714,14577
201717,103652
201720,67241
201723,9448
201724,47107
201733,81462
201736,94652
201737,12564
201738,169819
201740,9702
201776,12564
201782,101181
201788,61531
201794,57018
201796,3067
201803,147796
201805,147796
201807,18103
201809,147796
201816,157137
201829,5825
201832,74517
201835,140915
201844,138434
201846,27858
201857,154636
201863,52343
201865,117104
201871,41101
201876,135577
201881,96887
201889,62476
201911,60425
201928,149854
201932,170998
201935,103652
201955,168651
201956,75877
201976,31662
201977,164258
201978,145895
201979,5825
201980,63006
201981,75525
201991,152478
201993,101181
201999,84389
202004,40336
202012,128747
202019,63006
202026,154636
202037,144267
202038,3252
202043,6754
202056,18412
202065,146704
202068,31662
202073,167985
202076,153395
202082,48895
202089,78335
202096,20308
202098,13334
202101,52343
202118,120532
202120,46990
202121,79520
202124,9522
202133,60230
202136,63006
202138,154636
202151,57018
202168,103234
202171,160476
202179,40336
202184,166707
202185,151327
202187,166707
202190,92909
202194,152478
202196,58475
202224,79636
202234,110279
202236,64467
202249,43449
202251,111225
202253,88295
202255,119979
202257,63006
202264,151327
202276,81708
202277,5505
202280,69586
202288,78335
202289,49566
