,buy_duration
0,0 days 00:00:21.000000000
1,0 days 00:01:54.000000000
2,0 days 00:00:08.000000000
3,0 days 00:00:48.000000000
4,0 days 00:00:58.000000000
5,0 days 00:01:57.000000000
6,0 days 00:01:40.000000000
7,0 days 00:01:57.000000000
8,0 days 00:03:44.000000000
9,0 days 00:01:30.000000000
10,0 days 00:02:35.000000000
11,0 days 00:01:01.000000000
12,0 days 00:00:30.000000000
13,0 days 00:02:59.000000000
14,0 days 00:02:19.000000000
15,0 days 00:03:20.000000000
16,0 days 00:03:31.000000000
17,0 days 00:03:48.000000000
18,0 days 00:03:26.000000000
19,0 days 00:03:48.000000000
20,0 days 00:08:58.000000000
21,0 days 00:03:30.000000000
22,0 days 00:08:05.000000000
23,0 days 00:06:56.000000000
24,0 days 00:06:57.000000000
25,0 days 00:11:15.000000000
26,0 days 00:09:31.000000000
27,0 days 00:11:52.000000000
28,0 days 00:18:55.000000000
29,0 days 00:18:54.000000000
30,0 days 00:18:22.000000000
31,0 days 00:03:37.000000000
32,0 days 00:04:56.000000000
33,0 days 00:00:00.000000000
34,0 days 00:26:50.000000000
35,0 days 00:04:38.000000000
36,0 days 00:26:45.000000000
37,0 days 00:12:04.000000000
38,0 days 00:01:44.000000000
39,0 days 00:33:06.000000000
40,0 days 00:07:57.000000000
41,0 days 00:04:32.000000000
42,0 days 00:15:55.000000000
43,0 days 00:09:22.000000000
44,0 days 01:05:35.000000000
45,0 days 01:10:27.000000000
46,0 days 00:03:57.000000000
47,0 days 00:00:04.000000000
48,0 days 00:04:40.000000000
49,0 days 00:10:25.000000000
50,0 days 00:01:38.000000000
51,0 days 00:00:00.000000000
52,0 days 00:12:16.000000000
53,0 days 00:16:47.000000000
54,0 days 00:04:36.000000000
55,0 days 00:11:25.000000000
56,0 days 00:24:35.000000000
57,0 days 00:13:02.000000000
58,0 days 00:03:29.000000000
59,0 days 06:07:16.000000000
60,0 days 00:13:07.000000000
61,0 days 07:13:57.000000000
62,0 days 01:58:30.000000000
63,0 days 00:00:00.000000000
64,0 days 00:18:18.000000000
65,0 days 01:25:25.000000000
66,0 days 00:33:16.000000000
67,0 days 00:02:48.000000000
68,0 days 00:13:22.000000000
69,0 days 00:00:00.000000000
70,0 days 00:22:04.000000000
71,0 days 01:46:40.000000000
72,0 days 00:00:18.000000000
73,0 days 00:01:28.000000000
74,0 days 00:09:39.000000000
75,0 days 00:37:59.000000000
76,0 days 00:11:30.000000000
77,0 days 06:55:54.000000000
78,0 days 00:15:21.000000000
79,0 days 00:11:10.000000000
80,0 days 00:50:40.000000000
81,0 days 00:14:05.000000000
82,0 days 00:34:38.000000000
83,0 days 00:21:46.000000000
84,0 days 00:11:38.000000000
85,0 days 00:26:56.000000000
86,0 days 00:18:22.000000000
87,0 days 01:43:01.000000000
88,0 days 00:03:09.000000000
89,0 days 01:37:54.000000000
90,0 days 00:01:02.000000000
91,0 days 00:12:15.000000000
92,0 days 00:03:29.000000000
93,0 days 02:47:47.000000000
94,0 days 01:44:25.000000000
95,0 days 00:25:28.000000000
96,0 days 10:02:41.000000000
97,0 days 02:05:50.000000000
98,0 days 03:25:36.000000000
99,0 days 00:32:25.000000000
100,0 days 00:15:46.000000000
101,0 days 00:43:04.000000000
102,0 days 00:12:59.000000000
103,0 days 00:06:30.000000000
104,0 days 00:00:00.000000000
105,0 days 00:20:58.000000000
106,0 days 01:52:26.000000000
107,0 days 00:05:06.000000000
108,0 days 08:39:29.000000000
109,0 days 00:17:07.000000000
110,0 days 00:01:44.000000000
111,0 days 00:27:25.000000000
112,0 days 00:01:59.000000000
113,0 days 00:18:50.000000000
114,0 days 00:45:07.000000000
115,0 days 01:54:47.000000000
116,0 days 01:50:06.000000000
117,0 days 01:41:48.000000000
118,0 days 00:18:07.000000000
119,0 days 00:12:07.000000000
120,0 days 00:45:10.000000000
121,0 days 00:01:53.000000000
122,0 days 02:20:23.000000000
123,0 days 02:24:37.000000000
124,0 days 01:50:25.000000000
125,0 days 02:13:25.000000000
126,0 days 00:53:23.000000000
127,0 days 00:01:52.000000000
128,0 days 00:44:46.000000000
129,0 days 00:05:03.000000000
130,0 days 01:09:54.000000000
131,0 days 00:01:56.000000000
132,0 days 00:40:58.000000000
133,0 days 00:08:13.000000000
134,0 days 02:32:37.000000000
135,0 days 00:06:18.000000000
136,0 days 00:17:12.000000000
137,0 days 00:06:48.000000000
138,0 days 01:11:01.000000000
139,0 days 00:05:55.000000000
140,0 days 00:12:05.000000000
141,0 days 00:04:49.000000000
142,0 days 00:09:59.000000000
143,0 days 00:01:20.000000000
144,0 days 00:21:41.000000000
146,0 days 10:01:12.000000000
147,0 days 03:28:18.000000000
148,0 days 01:19:17.000000000
149,0 days 02:02:11.000000000
150,0 days 00:04:58.000000000
151,0 days 00:00:21.000000000
152,0 days 02:33:11.000000000
154,0 days 12:40:10.000000000
155,0 days 02:57:32.000000000
156,0 days 01:16:47.000000000
157,0 days 00:00:51.000000000
158,0 days 00:10:58.000000000
159,0 days 01:50:39.000000000
160,0 days 00:20:11.000000000
161,0 days 03:08:02.000000000
162,0 days 00:19:19.000000000
163,0 days 00:25:29.000000000
164,0 days 00:08:14.000000000
165,0 days 00:14:20.000000000
166,0 days 00:24:38.000000000
167,0 days 01:51:47.000000000
168,0 days 00:35:32.000000000
169,0 days 02:16:47.000000000
171,0 days 00:01:56.000000000
172,0 days 13:24:57.000000000
173,0 days 06:25:26.000000000
174,0 days 00:31:12.000000000
175,0 days 00:19:43.000000000
176,0 days 02:00:20.000000000
177,0 days 05:57:50.000000000
178,0 days 00:02:32.000000000
179,0 days 03:52:44.000000000
180,0 days 04:09:42.000000000
181,0 days 00:05:26.000000000
182,0 days 00:00:00.000000000
183,0 days 00:40:43.000000000
184,0 days 00:07:03.000000000
185,0 days 00:09:51.000000000
186,0 days 15:13:45.000000000
187,0 days 00:10:05.000000000
188,0 days 00:15:05.000000000
189,0 days 00:02:17.000000000
190,0 days 02:18:32.000000000
191,0 days 00:14:19.000000000
192,0 days 00:00:01.000000000
193,0 days 00:34:44.000000000
194,0 days 00:39:03.000000000
195,0 days 02:05:01.000000000
196,0 days 08:00:17.000000000
197,0 days 00:07:54.000000000
198,0 days 00:06:55.000000000
199,0 days 02:17:30.000000000
200,0 days 16:18:16.000000000
201,0 days 00:07:34.000000000
202,0 days 00:04:47.000000000
203,0 days 00:04:05.000000000
204,0 days 00:01:30.000000000
205,0 days 05:01:14.000000000
